DateandTime,Borough,LocationType,Location,Event Name,Attendance,day,time,turnoutStatus,turnoutStatus123
7/19/18,Brooklyn,Park,Cooper Park,Movies Under the Stars : Justice League,35,Thu,20:00,less than avg,0
7/19/18,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Movies Under the Stars Throwback Series,65,Thu,20:30,less than avg,0
7/19/18,Manhattan,Playground,Playground 103 CIII,Movies Under the Stars: Lion,93,Thu,20:00,less than avg,0
7/19/18,Queens,Park,Montbellier Park,"MUTS ""Despicable Me 3""",95,Thu,20:30,less than avg,0
7/19/18,Bronx,Other,Frank Frisch Field,Movies Under The Stars: Peter Rabbit,148,Thu,20:30,more than avg,1
7/20/18,Queens,Other,Beach 59th Street,"MUTS ""Southside with You""",16,Fri,20:30,less than avg,0
7/20/18,Bronx,Park,Ferry Point Park,Movies Under The Stars: Coco,35,Fri,20:30,less than avg,0
7/20/18,Staten Island,Park,Conference House Park,Movies Under the Stars:Wonder Woman,35,Fri,21:00,less than avg,0
7/20/18,Manhattan,Playground,Dry Dock Playground,Movies Under the Stars: The Jungle Book,50,Fri,20:00,less than avg,0
7/20/18,Staten Island,Recreation Center,Ocean Breeze Track & Field Athletic Complex,Movies Under the Stars: TMNT: Out of the Shadows,52,Fri,21:00,less than avg,0
7/20/18,Bronx,Playground,Behagen Playground,Movies Under The Stars: Coco,52,Fri,20:30,less than avg,0
7/20/18,Staten Island,Park,De Matti Park,Movies Under the Stars: Flubber,137,Fri,21:00,more than avg,1
7/21/18,Bronx,Park,Crotona Park,Movies Under The Stars: Jumanji: Welcome To The Jungle,52,Sat,20:30,less than avg,0
7/23/18,Queens,Park,Forest Park Bandshell,"Movies Under the Stars ""Grease""",35,Mon,20:30,less than avg,0
7/24/18,Staten Island,Park,Clove Lakes Park,Movies Under the Stars: Coco,15,Tue,20:30,less than avg,0
7/24/18,Bronx,Park,Franz Sigel Park,Movies Under The Stars: Captain Underpants,35,Tue,20:30,less than avg,0
7/24/18,Manhattan,Playground,Nathan Straus Playground,Movies Under the Stars: Justice League,58,Tue,20:00,less than avg,0
7/24/18,Bronx,Recreation Center,Williamsbridge Oval Recreation Center,Movies Under The Stars: Boss Baby,175,Tue,20:30,more than avg,1
7/25/18,Bronx,Park,Tremont Park,Movies Under The Stars: Despicable Me 3,52,Wed,20:30,less than avg,0
7/25/18,Staten Island,Recreation Center,Greenbelt Recreation Center,Movies Under the Stars: Bye Bye Birdie,60,Wed,20:30,less than avg,0
7/26/18,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Movies Under the Stars: Throwback Series - The Lion King,16,Thu,20:30,less than avg,0
7/26/18,Brooklyn,Park,Wingate Park,Movies Under the Stars : Star Wars The Last Jedi,40,Thu,20:00,less than avg,0
7/26/18,Staten Island,Park,Faber Pool and Park,Movies Under the Stars: Jurassic,63,Thu,20:30,less than avg,0
7/26/18,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Movies Under the Stars: Throwback Series - The Lion King,77,Thu,20:30,less than avg,0
7/26/18,Manhattan,Playground,Asser Levy Playground,Movies Under the Stars: Loving Vincent And Paint Night,77,Thu,20:00,less than avg,0
7/26/18,Bronx,Recreation Center,Hunts Point Recreation Center,Movies Under The Stars: Star Wars: The Last Jedi,94,Thu,20:15,less than avg,0
7/26/18,Queens,Park,Alley Pond Park,"Movies Under the Stars ""Zootopia""",412,Thu,20:30,more than avg,1
7/27/18,Bronx,Playground,Merriam Playground,Movies Under The Stars: A Wrinkle In Time,52,Fri,20:30,less than avg,0
7/27/18,Bronx,Park,Concrete Plant Park,Movies Under The Stars: Leap,52,Fri,20:30,less than avg,0
7/27/18,Queens,Playground,Playground for All Children,"Movies Under the Stars ""Coco""",52,Fri,20:30,less than avg,0
7/27/18,Staten Island,Park,Wolfe's Pond Park,Movies Under the Stars: Pitch Perfect 2,93,Fri,20:30,less than avg,0
7/28/18,Staten Island,Other,Timoshenko,Movies Under the Stars: Star Wars: The Last Jedi,15,Sat,20:30,less than avg,0
7/28/18,Brooklyn,Park,Marine Park,Movies Under the Stars : The Incredibles,15,Sat,20:00,less than avg,0
7/28/18,Manhattan,Playground,Frederick Douglass Playground,Movies Under the Stars: Valerian and the City of a Thousand Planets,16,Sat,20:00,less than avg,0
7/28/18,Staten Island,Park,CPL. Thompson Park,Movies Under the Stars: Justice League,52,Sat,20:30,less than avg,0
7/28/18,Queens,Park,O'Donohue Park,"Movies Under the Stars ""Star Wars: The Last Jedi""",60,Sat,20:30,less than avg,0
7/28/18,Bronx,Park,Van Cortlandt Park,Movies Under The Stars: Star Wars: The Last Jedi,72,Sat,20:30,less than avg,0
7/28/18,Manhattan,Playground,Frederick Douglass Playground,Movies Under the Stars: Valerian and the City of a Thousand Planets,175,Sat,20:00,more than avg,1
7/29/18,Queens,Other,Beach 94th Street,"Movies Under the Stars ""The Little Mermaid""",35,Sun,20:30,less than avg,0
7/30/18,Brooklyn,Playground,50 Kent,Movies Under the Stars: King Kong,52,Mon,20:00,less than avg,0
7/30/18,Queens,Park,Highland Park,"Movies Under the Stars ""The Incredibles""",93,Mon,20:30,less than avg,0
7/31/18,Manhattan,Playground,St. Nicholas Playground North,Movies Under the Stars: Justice League,15,Tue,20:00,less than avg,0
7/31/18,Bronx,Recreation Center,Williamsbridge Oval Recreation Center,Movies Under The Stars: The Lion King,16,Tue,20:15,less than avg,0
7/31/18,Manhattan,Playground,St. Nicholas Playground North,Movies Under the Stars - Justice League,72,Tue,20:00,less than avg,0
7/31/18,Bronx,Recreation Center,St. James Recreation Center,Movies Under The Stars: Justice League & Despicable Me 3,93,Tue,11:00,less than avg,0
7/31/18,Staten Island,Park,Bloomingdale Park,Movies Under the Stars: Pirates of the Caribbean,93,Tue,20:30,less than avg,0
7/31/18,Queens,Park,Yellowstone Park,"Movies Under the Stars ""Coco""",100,Tue,8:30,less than avg,0
8/1/18,Queens,Park,Flushing Meadows Corona Park,"Movies Under the Stars ""Black Panther""",0,Wed,20:30,less than avg,0
8/1/18,Manhattan,Park,De Witt Clinton Park,Movies Under the Stars - Gifted,35,Wed,18:00,less than avg,0
8/1/18,Bronx,Playground,Loreto Playground,Movies Under The Stars: Jumanji: Welcome To The Jungle,52,Wed,20:15,less than avg,0
8/1/18,Staten Island,Recreation Center,Greenbelt Recreation Center,Movies Under the Stars: The King and I,77,Wed,20:30,less than avg,0
8/1/18,Manhattan,Park,De Witt Clinton Park,Movies Under the Stars: Gifted,77,Wed,18:00,less than avg,0
8/2/18,Brooklyn,Park,Herbert Von King Park,"Movies Under the Stars "" Thor : Ragnarok""",16,Thu,20:00,less than avg,0
8/2/18,Brooklyn,Park,Herbert Von King Park,"Movies Under the Stars "" Thor Ragnarok""",52,Thu,20:00,less than avg,0
8/2/18,Bronx,Park,Haffen Park,Movies Under The Stars: Remember The Titans,52,Thu,20:15,less than avg,0
8/3/18,Staten Island,Recreation Center,Ocean Breeze Track & Field Athletic Complex,Movies Under the Stars: Chariots of Fire,0,Fri,20:30,less than avg,0
8/3/18,Bronx,Recreation Center,St. James Recreation Center,Movies Under The Stars: Early Man,35,Fri,20:15,less than avg,0
8/3/18,Queens,Park,Crocheron Park,"Movies Under the Stars ""Justice League""",55,Fri,20:30,less than avg,0
8/3/18,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Movies Under the Stars - The Jackie Robinson Story,60,Fri,18:00,less than avg,0
8/3/18,Bronx,Park,Mullaly Park,Movies Under The Stars: Jumanji: Welcome To The Jungle,95,Fri,20:15,less than avg,0
8/4/18,Manhattan,Park,Inwood Hill Park,Movies Under the Stars - Valerian City of a Thousand Planets,0,Sat,18:00,less than avg,0
8/4/18,Staten Island,Park,Seaside Wildlife Nature Park,Movies Under the Stars: Paddington,35,Sat,0:00,less than avg,0
8/4/18,Staten Island,Park,Midland Field,Movies Under the Stars: Black Panther,58,Sat,21:00,less than avg,0
8/4/18,Bronx,Park,Crotona Park,Movies Under The Stars: Black Panther,93,Sat,20:15,less than avg,0
8/4/18,Queens,Playground,Paul Raimonda Playground,"Movies Under the Stars ""Coco""",93,Sat,20:30,less than avg,0
8/5/18,Brooklyn,Other,Randall's Island Park,Movies Under the Stars,700,Sun,20:00,more than avg,1
8/6/18,Queens,Park,Cunningham Park,"Movies Under the Stars: ""Black Panther""",931,Mon,20:30,more than avg,1
8/7/18,Bronx,Recreation Center,Owen Dolen Recreation Center,Movies Under The Stars: Black Panther,52,Tue,20:15,less than avg,0
8/8/18,Manhattan,Park,Bellevue South Park,"Movies Under the Stars: ""Wonder Woman""",15,Wed,20:30,less than avg,0
8/8/18,Bronx,Park,Vidalia Park,Movies Under The Stars: The Lego Batman Movie,52,Wed,20:15,less than avg,0
8/8/18,Brooklyn,Park,50 Kent Street,"Movies Under the Stars : Dr Strange Love""",110,Wed,20:00,more than avg,1
8/9/18,Queens,Park,Macneil Park,"Movies Under the Stars ""Wonder Woman""",35,Thu,20:30,less than avg,0
8/9/18,Staten Island,Park,Conference House Park,Movies Under the Stars: Back to the future 2,52,Thu,21:00,less than avg,0
8/9/18,Manhattan,Playground,Matthew P. Sapolin Playground,Movies Under the Stars - Isle of Dogs,65,Thu,18:00,less than avg,0
8/9/18,Bronx,Recreation Center,West Bronx Recreation Center,Movies Under The Stars: Wonder,191,Thu,20:15,more than avg,1
8/9/18,Brooklyn,Park,Commodore Barry Park,"Movies Under the Stars : ""Black Panther""",191,Thu,20:00,more than avg,1
8/9/18,Manhattan,Playground,Matthew P. Sapolin Playground,"Movies Under the Stars: ""Isle of Dogs""",700,Thu,20:30,more than avg,1
8/10/18,Staten Island,Park,Timoshenko,Movies Under the Stars: Dunkirk,15,Fri,0:00,less than avg,0
8/10/18,Staten Island,Park,Westerleigh Park,Movies Under the Stars: The incredibles,15,Fri,20:30,less than avg,0
8/10/18,Manhattan,Playground,Twenty Four Sycamores Playground,Movies Under the Stars - Peter Rabbit,52,Fri,6:00,less than avg,0
8/10/18,Brooklyn,Park,Msgr. McGolrick Park,"Movies Under the Stars : "" The Greatest Showman""",93,Fri,20:00,less than avg,0
8/10/18,Manhattan,Recreation Center,Hansborough Recreation Center,Movies Under the Stars - Malcom X,93,Fri,18:00,less than avg,0
8/10/18,Queens,Other,Beach 59th Street,Movies Under the Stars,100,Fri,20:30,less than avg,0
8/10/18,Manhattan,Recreation Center,Hansborough Recreation Center,Movies Under the Stars - Malcom X,122,Fri,0:00,more than avg,1
8/10/18,Bronx,Park,Pelham Bay Park,Movies Under The Stars: Star Wars: The Last Jedi,122,Fri,20:00,more than avg,1
8/10/18,Manhattan,Park,Twenty-Four Sycamores Park,"Movies Under the Stars: ""Peter Rabbit""",137,Fri,20:30,more than avg,1
8/11/18,Bronx,Park,Soundview Park,Movies Under The Stars: Star Wars: The Last Jedi,52,Sat,20:00,less than avg,0
8/11/18,Queens,Other,Beach 94th Street,Movies Under the Stars,52,Sat,20:30,less than avg,0
8/12/18,Queens,Other,Beach 94th Street,"Movies Under the Stars ""North Shore""",52,Sun,20:30,less than avg,0
8/12/18,Brooklyn,Playground,Homecrest Playground,"Movies Under the Stars "" Mulan 2""",77,Sun,20:00,less than avg,0
8/13/18,Bronx,Playground,Playground 52 LII,Movies Under The Stars: Coco,52,Mon,20:00,less than avg,0
8/13/18,Queens,Park,Highland Park,Movies Under the Stars,52,Mon,20:30,less than avg,0
8/14/18,Queens,Park,Alley Pond Park,Movies Under the Stars,0,Tue,20:30,less than avg,0
8/14/18,Manhattan,Playground,Henry M. Jackson Playground,Movies Under the Stars - Gremlins,52,Tue,18:00,less than avg,0
8/15/18,Brooklyn,Playground,Osborn Playground,"Movies Under the Stars "" Black Panther """,0,Wed,20:00,less than avg,0
8/15/18,Queens,Park,Juniper Valley Park,"Movies Under the Stars ""The Incredibles""",0,Wed,20:30,less than avg,0
8/15/18,Manhattan,Playground,James Weldon Johnson Playground,Movies Under the Stars - Nutty by Nature,60,Wed,18:00,less than avg,0
8/15/18,Staten Island,Recreation Center,Greenbelt Recreation Center,Movies Under the Stars: A Funny thing Happened...,93,Wed,20:30,less than avg,0
8/15/18,Bronx,Park,Barretto Point Park,Movies Under The Stars: Pirates Of The Caribbean: Dead Men Tell No Tales,93,Wed,20:00,less than avg,0
8/16/18,Bronx,Other,Frank Frisch Field,Movies Under The Stars: A Dog's Purpose,52,Thu,20:00,less than avg,0
8/16/18,Manhattan,Playground,Samuel Seabury Playground,Movies Under the Stars - The Fantastic Mr. Fox,55,Thu,18:00,less than avg,0
8/16/18,Brooklyn,Playground,Colonel David Marcus Playground,"Movies Under the Stars "" Toy Story 3""",400,Thu,20:00,more than avg,1
8/17/18,Staten Island,Park,Von Briesen Park,Movies Under the Stars: The Lion King,15,Fri,20:30,less than avg,0
8/17/18,Staten Island,Recreation Center,Ocean Breeze Track & Field Athletic Complex,Movies Under the Stars: Grease,35,Fri,20:00,less than avg,0
8/17/18,Queens,Playground,Playground for All Children,"Movies Under the Stars ""Ferdinand""",40,Fri,20:30,less than avg,0
8/17/18,Bronx,Park,Joyce Kilmer Park,Movies Under The Stars: Avenger's: Infinity War's,52,Fri,20:00,less than avg,0
8/17/18,Bronx,Park,Ferry Point Park,Movies Under The Stars: Black Panther,52,Fri,20:00,less than avg,0
8/17/18,Brooklyn,Playground,John Hancock Playground,"Movies Under the Stars "" Black Panther""",52,Fri,20:00,less than avg,0
8/18/18,Bronx,Park,Mullaly Park,Movies Under The Stars: Coco,52,Sat,20:00,less than avg,0
8/18/18,Queens,Park,Roy Wilkins,Movies Under the Stars,52,Sat,20:30,less than avg,0
8/19/18,Queens,Other,Beach 94th Street,"Movies Under the Stars ""Saving Jamaica Bay""",25,Sun,20:30,less than avg,0
8/19/18,Manhattan,Park,Randall's Island Park,"Movies Under the Stars "" Guardians of the Galaxy""",100,Sun,20:00,less than avg,0
8/20/18,Bronx,Park,Rainey Park,Movies Under The Stars: jumanji: Welcome To The Jungle,52,Mon,20:00,less than avg,0
8/20/18,Queens,Park,Forest Park Bandshell,"Movies Under the Stars ""Jumanji""",54,Mon,20:30,less than avg,0
8/21/18,Brooklyn,Park,Carroll Park,"Movies Under the Stars ""Everything Everything""",16,Tue,20:00,less than avg,0
8/21/18,Queens,Recreation Center,Lost Battalion Hall Recreation Center,"Movies Under the Stars ""Paddington""",35,Tue,20:30,less than avg,0
8/21/18,Manhattan,Playground,Col. Young Playground,Movies Under the Stars: The BFG,72,Tue,20:00,less than avg,0
8/21/18,Staten Island,Park,Lemon Creek Park,Movies Under the Stars: Pitch Perfect 3,77,Tue,0:00,less than avg,0
8/21/18,Bronx,Recreation Center,Poe Park Visitor Center,Movies Under The Stars: Singing In The Rain,93,Tue,20:00,less than avg,0
8/22/18,Manhattan,Playground,Booker T. Washington Playground,Movies Under the Stars: Thor Ragnarok,16,Wed,20:00,less than avg,0
8/22/18,Brooklyn,Playground,Harry Maze Playground,"Movies Under the Stars  "" Black Panther """,60,Wed,0:00,less than avg,0
8/22/18,Bronx,Park,Concrete Plant Park,Movies Under The Stars: Star Wars: The Last Jedi,60,Wed,20:00,less than avg,0
8/22/18,Queens,Park,Unisphere - FMCP,"Movies Under the Stars ""Star Wars: The Last Jedi""",72,Wed,20:30,less than avg,0
8/22/18,Staten Island,Recreation Center,Greenbelt Recreation Center,Movies Under the Stars: His Girl Friday,248,Wed,20:30,more than avg,1
8/23/18,Manhattan,Playground,Alfred E. Smith Playground,Movies Under the Stars: Despicable Me 3,50,Thu,20:00,less than avg,0
8/23/18,Brooklyn,Park,Canarsie Park,"Movies Under the Stars "" Pan the music Oddessy""",95,Thu,20:00,less than avg,0
8/23/18,Staten Island,Park,Clove Lakes Park,Movies Under the Stars: The Goonies,95,Thu,20:00,less than avg,0
8/24/18,Manhattan,Recreation Center,Hansborough Recreation Center,Movies Under the Stars: Daniel Le's The Butler,52,Fri,20:00,less than avg,0
8/24/18,Bronx,Other,Orchard Beach,Movies Under The Stars: Black Panther,75,Fri,20:00,less than avg,0
8/24/18,Manhattan,Playground,Carmansville Playground,Movies Under the Stars: Spider-Man Homecoming,137,Fri,20:00,more than avg,1
8/24/18,Staten Island,Park,Seaside Wildlife Nature Park,Movies Under the Stars: Tomb Raider,175,Fri,20:00,more than avg,1
8/24/18,Queens,Park,Crocheron Park,"Movies Under the Stars ""Despicable Me 3""",248,Fri,20:30,more than avg,1
8/24/18,Brooklyn,Park,Prospect Park,"Movies Under the Stars : Caribbean Film Festival""",248,Fri,20:00,more than avg,1
8/24/18,Staten Island,Park,Westerleigh Park,Movies Under the Stars: Paddington,500,Fri,20:00,more than avg,1
8/25/18,Bronx,Park,Henry Hudson Park,Movies Under The Stars: Daddy's Home 2,35,Sat,20:00,less than avg,0
8/25/18,Manhattan,Playground,Martin Luther Kings JR Playground,Movies Under the Stars: A Balletrina's Tale,35,Sat,18:00,less than avg,0
8/25/18,Staten Island,Park,Cedar Grove,Movies Under the Stars: Descendants 2,35,Sat,0:00,less than avg,0
8/25/18,Brooklyn,Park,Brower Park,"Movies Under the Stars "" Marley""",52,Sat,20:00,less than avg,0
8/25/18,Queens,Park,Park of the Americas,"Movies Under the Stars ""Zootopia""",55,Sat,20:30,less than avg,0
8/25/18,Staten Island,Park,CPL. Thompson Park,Movies Under the Stars: The Fate of the Furious,60,Sat,20:00,less than avg,0
8/25/18,Staten Island,Park,Cedar Grove,Movies Under the Stars:,95,Sat,20:00,less than avg,0
8/26/18,Brooklyn,Park,Kelly Park,"Movies Under the Stars "" The Lion King""",100,Sun,20:00,less than avg,0
8/26/18,Queens,Other,Beach 94th Street,"Movies Under the Stars ""Princess Bride""",146,Sun,20:30,more than avg,1
8/27/18,Bronx,Playground,Melrose Playground,Movies Under The Stars: Avenger's: Infinity Wars,16,Mon,20:00,less than avg,0
8/27/18,Brooklyn,Playground,Thomas Greene Playground,"Movies Under the Stars "" Diary of a Wimpy kid""",77,Mon,20:00,less than avg,0
8/27/18,Queens,Park,Highland Park,"Movies Under the Stars ""Coco""",94,Mon,20:30,less than avg,0
8/28/18,Queens,Park,Wayanda Park,"Movies Under the Stars ""Avengers: Infinity War""",0,Tue,20:30,less than avg,0
8/28/18,Manhattan,Playground,Sol Lain Playground,Movies Under the Stars - Isle of Dogs,29,Tue,20:00,less than avg,0
8/28/18,Brooklyn,Park,Paerdegat Park,Movies Under the Stars : The Lego Ninjago Movie,58,Tue,20:00,less than avg,0
8/29/18,Manhattan,Park,Morningside Park,Movies Under the Stars - Jumanji,35,Wed,20:00,less than avg,0
8/29/18,Staten Island,Recreation Center,Greenbelt Recreation Center,Movies Under the Stars: Bringing up Baby,60,Wed,20:00,less than avg,0
8/29/18,Brooklyn,Playground,Colonel David Marcus Playground,"Movies Under the Stars "" Despicable Me 3""",60,Wed,20:00,less than avg,0
8/29/18,Staten Island,Recreation Center,Greenbelt Recreation Center,Movies Under the Stars: Bringing up Baby,94,Wed,20:00,less than avg,0
8/29/18,Queens,Park,Grover Cleveland,"Movies Under the Stars ""Coco""",100,Wed,20:30,less than avg,0
8/30/18,Staten Island,Park,Timoshenko,Movies Under the Stars: The Wizard of Oz,52,Thu,20:00,less than avg,0
8/30/18,Bronx,Playground,Allerton Playground,Movies Under The Stars: The Jungle Book,58,Thu,19:30,less than avg,0
8/30/18,Manhattan,Park,Washington Square Park,Movies Under the Stars - Autumn Sonata,855,Thu,20:00,more than avg,1
8/31/18,Staten Island,Park,Bloomingdale Park,Movies Under the Stars: Star Wars: The Force Awakens,50,Fri,20:00,less than avg,0
8/31/18,Bronx,Recreation Center,Williamsbridge Oval Recreation Center,Movies Under The Stars: Coco,52,Fri,19:30,less than avg,0
8/31/18,Queens,Park,Addabbo,"Movies Under the Stars ""Lego: Batman""",72,Fri,20:30,less than avg,0
8/31/18,Manhattan,Park,J. Hood Wright Park,Movies Under the Stars - Sherlock Gnomes,77,Fri,18:00,less than avg,0
8/31/18,Brooklyn,Park,Maria Hernandez Park,"Movies Under the Stars "" Teenage Mutant Ninja Turtles""",93,Fri,20:00,less than avg,0
9/1/18,Queens,Playground,Ehrenreich/Austin Playground,"Movies Under the Stars ""Lego: Batman""",15,Sat,20:30,less than avg,0
9/1/18,Staten Island,Recreation Center,Ocean Breeze Track & Field Athletic Complex,Movies Under the Stars: Charlie and the Chocolate Factory,15,Sat,12:30,less than avg,0
9/1/18,Bronx,Park,Joyce Kilmer Park,Movies Under The Stars: Avenger's: Age Of Ultron,77,Sat,19:30,less than avg,0
9/1/18,Manhattan,Playground,Frederick Douglass Playground,Movies Under the Stars - Wrinkle in Time,212,Sat,20:00,more than avg,1
9/2/18,Queens,Playground,Yellowstone Playground,"Movies Under the Stars ""The Little Mermaid""",93,Sun,20:30,less than avg,0
9/4/18,Manhattan,Park,Washington Market Park,Movies Under the Stars - A Wrinkle in Time,35,Tue,19:30,less than avg,0
9/5/18,Manhattan,Playground,St. Nicholas Playground South,Movies Under the Stars - The Lego Batman Movie,52,Wed,19:30,less than avg,0
9/5/18,Manhattan,Playground,Sheltering Arms Playground,Movies Under the Stars - A Wrinkle in Time,60,Wed,19:30,less than avg,0
9/6/18,Bronx,Playground,Flynn Playground,Movies Under The Stars: Space Jam,52,Thu,19:30,less than avg,0
9/6/18,Queens,Other,Beach 94th Street,Movies Under the Stars,52,Thu,20:30,less than avg,0
9/7/18,Brooklyn,Park,Herbert Von King Park,"Movies Under the Stars "" School Daze""",50,Fri,20:00,less than avg,0
9/7/18,Manhattan,Park,St. Nicholas Park,"Movies Under the Stars - Love, Beats, Rhymes",58,Fri,19:30,less than avg,0
9/7/18,Manhattan,Recreation Center,Hansborough Recreation Center,Movies Under the Stars - Black Panther,60,Fri,19:30,less than avg,0
9/7/18,Bronx,Park,Concrete Plant Park,Movies Under The Stars: A Wrinkle In Time,94,Fri,19:30,less than avg,0
9/7/18,Queens,Playground,Paul Raimonda,"Movies Under the Stars ""Brave""",137,Fri,20:30,more than avg,1
9/8/18,Bronx,Playground,Stars & Stripes Playground,Movies Under The Stars: Black Panther,52,Sat,19:30,less than avg,0
9/8/18,Bronx,Park,Vidalia Park,Movies Under The Stars: Black Panther,52,Sat,19:30,less than avg,0
9/8/18,Manhattan,Park,Carl Schurz Park,Movies Under the Stars - A Wrinkle in Time,52,Sat,19:30,less than avg,0
9/8/18,Queens,Playground,St. Albans,Movies Under the Stars,55,Sat,20:30,less than avg,0
9/9/18,Queens,Park,Elmhurst,Movies Under the Stars,52,Sun,20:30,less than avg,0
9/10/18,Queens,Park,Baisley Pond,Movies Under the Stars,52,Mon,20:30,less than avg,0
9/12/18,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Movies Under the Stars - Drumline,52,Wed,19:30,less than avg,0
9/13/18,Manhattan,Playground,Raoul Wallemberg Playground,Movies Under the Stars - Smurfs: The Lost Village,72,Thu,19:30,less than avg,0
9/13/18,Bronx,Other,Belmont Field,Movies Under The Stars: Captain Underpants,172,Thu,19:15,more than avg,1
9/14/18,Queens,Park,Brookville Park,"Movies Under the Stars ""Coco""",200,Fri,20:00,more than avg,1
9/14/18,Bronx,Park,Van Cortlandt Park,Movies Under The Stars: Black Panther,248,Fri,19:00,more than avg,1
9/15/18,Manhattan,Playground,Matthews - Palmer Playground,Movies Under the Stars - Rogue One: A Star Wars Story,94,Sat,19:30,less than avg,0
9/15/18,Queens,Playground,Ehrenreich/Austin Playground,"Movies Under the Stars ""Kubo and the Two Strings""",122,Sat,20:00,more than avg,1
9/19/18,Manhattan,Playground,Poor Richard's Playground,Movies Under the Stars - Space Jam,94,Wed,19:30,less than avg,0
9/20/18,Manhattan,Playground,Corlears Hook Playground,Movies Under the Stars - The Greatest Showman,52,Thu,19:30,less than avg,0
9/20/18,Bronx,Playground,Slattery Playground,Movies Under The Stars: Black Panther,60,Thu,19:00,less than avg,0
9/21/18,Manhattan,Playground,Courtney Callender Playground,Movies Under the Stars - Toy Story,0,Fri,19:30,less than avg,0
9/22/18,Manhattan,Playground,Baruch Playground,Movies Under the Stars - Black Panther,146,Sat,19:30,more than avg,1
